測站,時間,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
關山,2021-01-01 00:00:00,10.3,,0.9,2.7,3.7,27.3,18.0,15.0,0.0,80.0,1.6,14.0,13.0,1.8,1.3
關山,2021-01-01 01:00:00,10.3,,1.0,2.2,3.3,25.7,14.0,15.0,0.0,80.0,0.6,18.0,17.0,2.2,1.4
關山,2021-01-01 02:00:00,10.3,,1.2,2.0,3.2,27.8,15.0,12.0,0.0,80.0,0.7,36.0,66.0,1.4,1.1
關山,2021-01-01 03:00:00,9.8,,0.5,2.5,3.1,23.3,17.0,15.0,0.0,85.0,0.8,52.0,37.0,0.7,0.7
關山,2021-01-01 04:00:00,10.1,,1.1,2.2,3.4,30.099999999999998,20.0,13.0,0.0,82.0,0.9,28.0,52.0,0.9,0.7
關山,2021-01-01 05:00:00,10.2,,0.7,2.1,2.9,30.133333333333333,15.0,12.0,0.0,82.0,0.9,42.0,85.0,1.1,0.4
關山,2021-01-01 06:00:00,10.0,,1.2,3.2,4.4,19.3,20.0,13.0,0.0,83.0,0.9,59.0,353.0,0.8,0.8
關山,2021-01-01 07:00:00,10.2,,1.6,5.6,7.3,18.9,16.0,10.0,0.0,83.0,0.9,43.0,36.0,1.2,0.8
關山,2021-01-01 08:00:00,10.8,,1.8,4.5,6.4,20.3,17.0,13.0,0.0,81.0,1.0,36.0,78.0,1.5,1.0
關山,2021-01-01 09:00:00,11.6,,1.3,4.1,5.5,25.1,22.0,10.0,0.0,75.0,0.9,25.0,17.0,1.7,1.4
關山,2021-01-01 10:00:00,12.5,,2.5,5.1,7.6,25.4,15.0,11.0,0.0,72.0,0.8,47.0,46.0,1.6,1.2
關山,2021-01-01 11:00:00,13.6,,2.6,4.9,7.5,28.2,12.0,11.0,0.0,68.0,0.6,56.0,61.0,2.1,1.4
關山,2021-01-01 12:00:00,14.6,,2.4,3.0,5.5,30.2,9.0,9.0,0.0,64.0,0.3,42.0,43.0,1.9,1.6
關山,2021-01-01 13:00:00,14.9,,1.7,2.8,4.6,31.6,11.0,7.0,0.0,62.0,0.3,17.0,355.0,1.9,1.5
關山,2021-01-01 14:00:00,14.8,,1.5,3.9,5.4,31.6,11.0,9.0,0.0,63.0,0.3,19.0,42.0,1.7,1.3
關山,2021-01-01 15:00:00,14.5,,1.5,3.8,5.3,32.8,13.0,8.0,0.0,63.0,0.4,19.0,9.0,2.0,1.7
關山,2021-01-01 16:00:00,14.1,,1.4,6.3,7.8,28.3,21.0,11.0,0.0,66.0,0.4,29.0,42.0,1.2,1.1
關山,2021-01-01 17:00:00,13.5,,1.4,7.0,8.5,25.2,22.0,11.0,0.0,71.0,0.5,21.0,27.0,1.4,1.1
關山,2021-01-01 18:00:00,13.2,,1.4,6.6,8.1,24.2,19.0,11.0,0.0,72.0,0.3,30.0,30.0,0.6,0.8
關山,2021-01-01 19:00:00,13.0,,1.0,5.1,6.2,22.7,20.0,11.0,0.0,74.0,0.3,5.0,350.0,0.6,0.6
關山,2021-01-01 20:00:00,12.7,,1.3,4.7,6.1,18.3,13.0,8.0,0.0,78.0,0.3,355.0,29.0,0.8,0.4
關山,2021-01-01 21:00:00,12.6,,1.2,5.1,6.4,19.4,16.0,10.0,0.0,78.0,0.5,23.0,26.0,0.7,0.4
關山,2021-01-01 22:00:00,12.3,,1.7,6.2,8.0,16.4,18.0,14.0,0.0,81.0,0.4,21.0,315.0,0.4,0.4
關山,2021-01-01 23:00:00,12.2,,1.1,1.6,2.8,17.1,12.0,11.0,0.0,83.0,0.6,348.0,32.0,0.8,0.4
關山,2021-01-02 00:00:00,12.2,,1.0,2.9,4.0,18.5,19.0,11.0,0.0,82.0,0.5,33.0,77.0,0.5,0.4
關山,2021-01-02 01:00:00,12.1,,0.8,1.8,2.7,26.5,14.0,10.0,0.0,83.0,0.8,7.0,336.0,0.7,0.5
關山,2021-01-02 02:00:00,12.1,,2.0,1.1,3.1,14.4,16.0,8.0,0.0,84.0,0.8,1.0,346.0,0.8,0.6
關山,2021-01-02 03:00:00,12.1,,2.2,0.4,2.7,14.2,12.0,11.0,0.0,84.0,0.8,3.0,345.0,2.0,1.3
關山,2021-01-02 04:00:00,12.0,,2.0,0.3,2.3,22.299999999999997,18.0,10.0,0.0,85.0,0.8,351.0,288.0,0.4,0.5
