測站,日期,測項,小時,數值
關山,2021-01-01,AMB_TEMP,0,10.3
關山,2021-01-01,NO,0,0.9
關山,2021-01-01,NO2,0,2.7
關山,2021-01-01,NOx,0,3.7
關山,2021-01-01,O3,0,27.3
關山,2021-01-01,PM10,0,18.0
關山,2021-01-01,PM2.5,0,15.0
關山,2021-01-01,RAINFALL,0,0.0
關山,2021-01-01,RH,0,80.0
關山,2021-01-01,SO2,0,1.6
關山,2021-01-01,WD_HR,0,14.0
關山,2021-01-01,WIND_DIREC,0,13.0
關山,2021-01-01,WIND_SPEED,0,1.8
關山,2021-01-01,WS_HR,0,1.3
關山,2021-01-02,AMB_TEMP,0,12.2
關山,2021-01-02,NO,0,1.0
關山,2021-01-02,NO2,0,2.9
關山,2021-01-02,NOx,0,4.0
關山,2021-01-02,O3,0,18.5
關山,2021-01-02,PM10,0,19.0
關山,2021-01-02,PM2.5,0,11.0
關山,2021-01-02,RAINFALL,0,0.0
關山,2021-01-02,RH,0,82.0
關山,2021-01-02,SO2,0,0.5
關山,2021-01-02,WD_HR,0,33.0
關山,2021-01-02,WIND_DIREC,0,77.0
關山,2021-01-02,WIND_SPEED,0,0.5
關山,2021-01-02,WS_HR,0,0.4
關山,2021-01-03,AMB_TEMP,0,14.4
關山,2021-01-03,NO,0,2.0
關山,2021-01-03,NO2,0,1.1
關山,2021-01-03,NOx,0,3.2
關山,2021-01-03,O3,0,31.5
關山,2021-01-03,PM10,0,8.0
關山,2021-01-03,PM2.5,0,7.0
關山,2021-01-03,RAINFALL,0,0.0
關山,2021-01-03,RH,0,88.0
關山,2021-01-03,SO2,0,0.7
關山,2021-01-03,WD_HR,0,32.0
關山,2021-01-03,WIND_DIREC,0,4.0
關山,2021-01-03,WIND_SPEED,0,1.3
關山,2021-01-03,WS_HR,0,0.9
關山,2021-01-04,AMB_TEMP,0,13.4
關山,2021-01-04,NO,0,1.8
關山,2021-01-04,NO2,0,2.3
關山,2021-01-04,NOx,0,4.2
關山,2021-01-04,O3,0,12.9
關山,2021-01-04,PM10,0,15.0
關山,2021-01-04,PM2.5,0,9.0
關山,2021-01-04,RAINFALL,0,0.0
關山,2021-01-04,RH,0,92.0
關山,2021-01-04,SO2,0,0.4
關山,2021-01-04,WD_HR,0,33.0
關山,2021-01-04,WIND_DIREC,0,8.0
關山,2021-01-04,WIND_SPEED,0,0.6
關山,2021-01-04,WS_HR,0,0.3
關山,2021-01-05,AMB_TEMP,0,15.5
關山,2021-01-05,NO,0,2.5
關山,2021-01-05,NO2,0,2.4
關山,2021-01-05,NOx,0,4.9
關山,2021-01-05,O3,0,8.2
關山,2021-01-05,PM10,0,8.0
關山,2021-01-05,PM2.5,0,5.0
關山,2021-01-05,RAINFALL,0,0.0
關山,2021-01-05,RH,0,92.0
關山,2021-01-05,SO2,0,0.6
關山,2021-01-05,WD_HR,0,331.0
關山,2021-01-05,WIND_DIREC,0,337.0
關山,2021-01-05,WIND_SPEED,0,0.4
關山,2021-01-05,WS_HR,0,0.2
關山,2021-01-06,AMB_TEMP,0,16.3
關山,2021-01-06,NO,0,1.7
關山,2021-01-06,NO2,0,0.7
關山,2021-01-06,NOx,0,2.5
關山,2021-01-06,O3,0,39.4
關山,2021-01-06,PM10,0,7.0
關山,2021-01-06,PM2.5,0,3.0
關山,2021-01-06,RAINFALL,0,0.0
關山,2021-01-06,RH,0,85.0
關山,2021-01-06,SO2,0,0.2
關山,2021-01-06,WD_HR,0,19.0
關山,2021-01-06,WIND_DIREC,0,15.0
關山,2021-01-06,WIND_SPEED,0,1.8
關山,2021-01-06,WS_HR,0,1.6
關山,2021-01-07,AMB_TEMP,0,16.0
關山,2021-01-07,NO,0,2.0
